,Food Name,GI,Serving Size,Carb Serving,GL
67,"Pizza base, baked in oven at 220oC for 9 min ",52,NaN,30,16
68,"Scones, plain, made from packet mix",92,NaN,30,28
69,"Sweet bread, with chocolate chips",50,NaN,30,15
70,"Tarte, made with wheat flour and apricot jam",44,NaN,30,13
71,Beer (4.5% alcohol by volume) (Nikolai Lager),119,NaN,10,12
72,"Beer (4.4% alcohol by volume), Pilsner Urquell®",89,NaN,10,9
73,"Beer, non-alcoholic (0.0% alcohol by volume) (Nikolai Lager)",80,NaN,10,8
74,"Coca Cola®, soft drink ",53,NaN,25,13
75,"Coca Cola®, soft drink",73,NaN,25,18
76,"Cola, Pepsi®, sucrose-sweetened",72,NaN,25,18
77,"Ginger beer, carbonated beverage",65,NaN,25,16
78,"Lemon flavored soft drink, Lemonade, Schweppes®",54,NaN,25,14
79,"Lemon flavored soft drink, Solo™, lemon squash",58,NaN,25,15
80,Lemon flavored soft drink Sprite™,64,NaN,25,16
81,"Blackcurrant fruit syrup, Ribena™ reconstituted with water",52,NaN,25,13
82,"Fruit drink, decreased GI variant (containing 8% isomaltose)",48,NaN,25,12
83,"Fruit drink, increased GI variant (containing 8% sucrose)",86,NaN,25,22
84,Fruit flavored beverage ,67,NaN,25,17
85,Fruit flavored beverage with 0.22 g Filtered Molasses Concentrate added per 100 mL (3.6 g FMC/100 g carbohydrate),58,NaN,25,15
86,"Ice Green Tea, ready-to-drink brewed green tea",50,NaN,25,13
87,"Iced Green Tea, 7% lemon juice",66,NaN,25,17
88,"Ice Lemon Tea, ready-to-drink black tea with lemon flavor",74,NaN,25,19
89,"Iced lemon tea, decaffeinated, lemon juice powder 0.2% (7% fructose)",38,NaN,25,10
90,"Iced lemon tea, lemon juice powder 0.2%",72,NaN,25,18
91,"Iced peach tea, 9.5% peach juice",71,NaN,25,18
92,"Orange Delight Cocktail with pulp, President's Choice® Blue Menu™",44,NaN,25,11
93,"Tropical blend fruit drink, V8 Splash®",47,NaN,25,12
94,"Choc Banana flavored drink, Aussie Bodies Start the Day UHT",24,NaN,25,6
95,"Chocolate flavored drink, Aussie Bodies Start the Day UHT ",26,NaN,25,7
96,"Hot Chocolate mix made with hot water, Complete",51,NaN,25,13
97,"Chocolate Liquid Breakfast, Devondale Fast Start",39,NaN,25,10
98,"Coffee Liquid Breakfast, Devondale Fast Start",39,NaN,25,10
99,Kellogg’s® Coco Pops Chocolatey Liquid Breakfast,35,NaN,25,9
100,Kellogg‘s® Nutri-Grain Breakfast Fuel ,38,NaN,25,10
101,"Milo™, dissolved in water ",55,NaN,25,14
102,"Milo™, dissolved in water",52,NaN,25,13
103,"Milk powder, Jerseyjoy Active Life, prepared with water",32,NaN,25,8
104,"Nesquik™, chocolate, prepared with water",53,NaN,25,13
105,"Nesquik™, strawberry, prepared with water",64,NaN,25,16
106,"Ovaltine®, chocolate, prepared with water",50,NaN,25,13
107,"Formulated Milk powder for Middle-Aged Adults, Probilove, prepared with water",32,NaN,25,8
108,"Vanilla drink with fiber, Build-Up™ nutrient-fortified drink",41,NaN,25,10
109,"Vanilla Liquid Breakfast, Devondale Fast Start",49,NaN,25,12
110,Yakult,51,NaN,25,13
111,"Yakult, fermented milk drink",58,NaN,25,15
112,"Yakult® Light, fermented milk drink with Lactobacillus casei ",36,NaN,25,9
113,"Rice milk drink, low-fat, Australia's Own Natural™",92,NaN,25,23
114,"Rice milk, low-fat, calcium enriched, Vitasoy®",79,NaN,25,20
115,"Smoothie, apple, pear, banana (Frullato mela, pera e banana Storie di frutta, Mulino Bianco)",68,NaN,25,17
116,"Smoothie, banana",30,NaN,25,8
117,"Smoothie, Banana & Honey, Devondale brand",28,NaN,25,7
118,"Smoothie, banana and strawberry, V8 Splash®",44,NaN,25,11
119,"Smoothie, mango",32,NaN,25,8
120,"Smoothie, mango and passionfruit",36,NaN,25,9
121,"Smoothie, raspberry",33,NaN,25,8
122,"Smoothie, strawberry and banana",39,NaN,25,10
123,"Smoothie, Tropical, Devondale brand",31,NaN,25,8
124,"Cocoa malt flavor, Up & Go™, soy milk, rice cereal liquid breakfast",43,NaN,25,11
125,"Chocolate Daydream™ shake, fructose (Revival Soy®)",33,NaN,25,8
126,"Chocolate flavored soy milk drink, So Good Bliss",46,NaN,25,12
127,"Chocolate, Xpress, soy bean, cereal and legume extract drink with fructose",39,NaN,25,10
128,"Original malt flavor, Up & Go™, soy milk, rice cereal liquid breakfast",46,NaN,25,12
129,"Smoothie drink, soy, banana, 1% fat",30,NaN,25,8
130,"Smoothie drink, soy, chocolate hazelnut, 1% fat ",34,NaN,25,9
131,"Soy Beverage, Chocolate flavored, President's Choice® Blue Menu™",40,NaN,25,10
132,"Soy Beverage, Original flavored, President's Choice® Blue Menu™",15,NaN,25,4
133,"Soy Beverage, Vanilla flavored, President's Choice® Blue Menu™ ",28,NaN,25,7
134,"Sport beverage based on whey protein powder with carbohydrate (CHO:PRO=4:1), orange flavor",67,NaN,25,17
135,"Sustagen® Sport Chocolate, prepared with water",36,NaN,25,9
136,"Sustagen® Sport Vanilla, prepared with water",37,NaN,25,9
137,"Thorpedo® Advanced Hydration for Kids, all flavors",11,NaN,25,3
138,"Thorpedo® Ultra Low GI Energy Water, all flavors",16,NaN,25,4
139,Ancient Grains Quinoa milk drink with Chia,42,NaN,25,11
140,"Coconut milk beverage, containing organic coconut milk and organic brown rice",68,NaN,25,17
141,"Coconut Water, water of green coconut, Nudie™",55,NaN,25,14
142,"Goat Milk Drink, Symbiotics Low GI, powder prepared with water",25,NaN,25,6
143,"Oat milk, calcium enriched, Vitasoy®",69,NaN,25,17
144,English Muffin™ bread,77,NaN,15,12
145,"English Muffin, Whole Grain Multigrain, President's Choice® Blue Menu™",45,NaN,15,7
146,"Fruit and Spice Bread, Vogel’s",57,NaN,15,9
147,"Fruit and Spice Bread, Vogel's, tested after a high-CHO evening meal",68,NaN,15,10
148,"Fruit and Spice Bread, Vogel's, tested after a high-fat evening meal",59,NaN,15,9
149,"Fruit loaf, Bürgen®",44,NaN,15,7
150,"Fruit and Muesli bread, Bürgen® ",53,NaN,15,8
151,Fruit and cinnamon bread,71,NaN,15,11
152,"Fruit and Spice Loaf, thick sliced",54,NaN,15,8
153,"Fruit loaf, sliced",57,NaN,15,9
154,"Cinnamon, raisin, pecan bread, Happiness™",63,NaN,15,9
155,"Muesli bread, made from packet mix in bread making machine",54,NaN,15,8
156,"Raisin Toast, TipTop™",53,NaN,15,8
157,Whole-wheat bread with dried fruit,47,NaN,15,7
158,"Multigrain bread, gluten-free ",79,NaN,15,12
159,"White bread, gluten free",40,NaN,15,6
160,"White bread, gluten free, sliced",61,NaN,15,9
161,"White roll bread, gluten free ",63,NaN,15,9
162,"White sourdough bread, gluten free, sliced",52,NaN,15,8
163,"Burger Buns, 100% Whole wheat Gigantico, President's Choice® Blue Menu™",62,NaN,15,9
164,Herman Brot HermanBurger Protein Bun ,31,NaN,15,5
165,"Hot Dog Rolls, 100% Whole wheat Gigantico, President's Choice® Blue Menu™",62,NaN,15,9
166,"Mixed Grain bread roll, Bürgen™",52,NaN,15,8
167,"Soft bread rolls, Pagnottelle classic, soft wheat flour, sugar (5.4%), Mulino Bianco",62,NaN,15,9
168,"Soft bread rolls, Sfilatini al grano tenero, Mulino Bianco",65,NaN,15,10
169,"Classic Seed Loaf, Helga's™ ",68,NaN,15,10
170,"Hearty 7 Grain bread, Healthy Choice™ ",55,NaN,15,8
171,"Hearty 100% Whole Grain bread, Healthy Choice™ ",62,NaN,15,9
172,Kibbled Konini bread ,68,NaN,15,10
173,"Kibbled wheat bread, Lawson’s Settlers Grain ",65,NaN,15,10
174,Linola seed bread,90,NaN,15,14
175,"Mixed Grain bread, Bürgen™ ",34,NaN,15,5
176,"Mixed Grain, Bürgen™ ",52,NaN,15,8
177,"Mixed grain sandwich bread, Molenberg™ ",75,NaN,15,11
178,Multigrain batch bread,62,NaN,15,9
179,Multigrain bread,56,NaN,15,8
180,"Multi-Grain bread, 9-Grain ",43,NaN,15,6
181,"Multigrain loaf, containing wheat flour and coconut flour",60,NaN,15,9
182,Multiseed bread,54,NaN,15,8
183,"Oatbran & Honey bread, Bürgen™",49,NaN,15,7
184,"Organic Heavy Wholegrain bread, Golden Hearth™",53,NaN,15,8
185,"Pumpkin Seed bread, containing 6% pumpkin seeds, Bürgen™ ",49,NaN,15,7
186,Seeded bread,49,NaN,15,7
187,"Soy-Lin, kibbled soy (8%) and linseed (8%) loaf, Bürgen™ ",36,NaN,15,5
188,Soy & Linseed bread (made from packet mix cooked in bread maker),50,NaN,15,8
189,Soy & Linseed bread,56,NaN,15,8
190,"Sprouted wheat bread, Sprouted 3 Grains bread",55,NaN,15,8
191,"Whole grain bread, Hunger Filler™",59,NaN,15,9
192,"Whole grain bread, Nutty Natural™ ",59,NaN,15,9
193,"Whole grain bread, Stay Trim™ ",70,NaN,15,11
194,"Wholemeal Country Grain bread, Bakers Delight™ ",53,NaN,15,8
195,"Wholemeal & Seeds bread, Bürgen™ ",39,NaN,15,6
196,Herman Brot Lower Carb Bread,24,NaN,15,4
197,"Lower Carb 5 Seeds Bread, Helga’s™",53,NaN,15,8
198,"Lower Carb Soy & Toasted Sesame Bread, Helga’s™ ",51,NaN,15,8
199,"Lower Carb Wholemeal & Seeds Bread, Helga’s™",51,NaN,15,8
200,"Bread, short oat (50% wholemeal wheat, 20% rye, 10% oatmeal, 20% white wheat, yeast (1.3% net flour weight), no rising time, 30 min proving time, 220°C baking temperature, 30 min bake",77,NaN,15,12
201,"Bread, wholemeal with oatmeal ",67,NaN,15,10
202,"Degraded oat bran concentrate bread (50% oat bran concentrate + 50% wheat, 5 h proving time)",64,NaN,15,10
203,"Optimal oat bran concentrate bread (50% oat bran concentrate + 50% wheat, separate proving of wheat dough part)",57,NaN,15,9
204,"Low oat bran concentrate bread (25% oat bran concentrate + 75% wheat, separate proving of wheat dough part)",65,NaN,15,10
205,Oatmeal batch bread,62,NaN,15,9
206,"Soft pretzel, soy",39,NaN,15,6
207,"Soft pretzel, wheat",66,NaN,15,10
208,Soft pretzel ,80,NaN,15,12
209,"Rice bread, high-amylose Doongara rice ",61,NaN,15,9
210,"Rice bread, low-amylose Calrose rice ",72,NaN,15,11
211,"Bread, long rye (50% wholemeal wheat, 30% rye, 20% white wheat, yeast (13% net flour weight), 20 min rising time, 30 min proving time, 220°C baking temperature, 30 min bake time",76,NaN,15,11
212,"Bread, short rye (50% wholemeal wheat, 30% rye, 20% white wheat, yeast (1.3% net flour weight), no rising time, 30 min proving time, 220°C baking temperature, 30 min bake time",82,NaN,15,12
213,"Rye, Bürgen™ ",51,NaN,15,8
214,"Rye, Country Grain Organic",53,NaN,15,8
215,Pumpernickel Rye bread,49,NaN,15,7
216,Rye Hi-Soy with Linseed ,55,NaN,15,8
217,Rye wheat sourdough bread,62,NaN,15,9
218,Sourdough rye bread,48,NaN,15,7
219,"Sourdough bread, made with rye flour, wholemeal rye flour, spelt flour and intact barley kernels and white bean kernels",67,NaN,15,10
220,"Sourdough bread, made with rye flour, wholemeal rye flour, spelt flour with intact barley kernels and mung bean kernels",65,NaN,15,10
221,Sprouted rye bread,61,NaN,15,9
222,"Rye, made with 30% wholemeal wheat, 20% kibbled rye, 30% wheat flour, and baker’s yeast",60,NaN,15,9
223,Wholemeal rye bread with intact grains and sunflower seeds ,55,NaN,15,8
224,Sourdough Cob Bread,77,NaN,15,12
225,Sourdough wheat bread ,54,NaN,15,8
226,"Sourdough bread (50% wholemeal wheat, 50% white wheat, sourdough starter (70% wet weight), 80 min rising time, 60 min proving time, 200°C baking temperature, 60 min baking time",82,NaN,15,12
227,"Sourdough bread + oats (50% wholemeal wheat, 50% white wheat, 10% rolled oats; sourdough starter (70% wet weight), 80 min rising time, 60 min proving time, 200°C baking temperature, 60 min baking time",71,NaN,15,11
228,"Sourdough Vienna bread, Bakers Delight™",66,NaN,15,10
229,Multigrain spelt bread®,54,NaN,15,8
230,Sprouted Spelt bread,62,NaN,15,9
231,White spelt wheat bread,66,NaN,15,10
232,Wholemeal spelt wheat bread (local bakery),63,NaN,15,9
233,"Wheat bread, sliced (Pan Bauletto Bianco)",59,NaN,15,9
234,White bread,59,NaN,15,9
235,"White bread, Giant Eagle King Size Enriched bread",60,NaN,15,9
236,White bread,62,NaN,15,9
237,White bread,63,NaN,15,9
238,White bread,65,NaN,15,10
239,White bread,66,NaN,15,10
240,White bread ,68,NaN,15,10
241,White bread,69,NaN,15,10
242,"White bread, WonderWhite™",70,NaN,15,11
243,"White bread, WonderWhite™, tested by subjects with a low AMY1 copy number",70,NaN,15,11
244,"White bread, Sunblest™ ",70,NaN,15,11
245,White bread,71,NaN,15,11
246,White bread,71,NaN,15,11
247,White bread,71,NaN,15,11
248,White bread (Original White Bread),71,NaN,15,11
249,"Wheat bread, bite-sized, soft wheat flour",71,NaN,15,11
250,White bread,72,NaN,15,11
251,White bread,72,NaN,15,11
252,White bread,74,NaN,15,11
253,White bread,75,NaN,15,11
254,White bread,75,NaN,15,11
255,White bread (Vodova veka Penam),75,NaN,15,11
256,White bread,76,NaN,15,11
257,White bread,76,NaN,15,11
258,"White bread, containing 9% sourdough, baked for 30 min at 210°C",76,NaN,15,11
259,White bread,76,NaN,15,11
260,"Wheat bread, sliced (Harry's)",76,NaN,15,11
261,White bread,78,NaN,15,12
262,"White bread, WonderWhite™, tested by subjects with a high AMY1 copy number",81,NaN,15,12
263,White bread,83,NaN,15,12
264,White bread ,83,NaN,15,12
265,Wheat bread,84,NaN,15,13
266,White bread (lab made),87,NaN,15,13
267,White bread,88,NaN,15,13
268,"Baguette, Whole Grain, President's Choice® Blue Menu™",73,NaN,15,11
269,"Bread, bakery made from an industrial mix for bread preparation ",72,NaN,15,11
270,"Bread, bakery made from an industrial mix for bread preparation",87,NaN,15,13
271,"Bread, sliced, soft wheat flour, low GI and high fiber (Pane a fette a basso indice glicemico e ad alto contenuto di fibre)",41,NaN,15,6
272,"Pan Bauletto 5 cereali e soia, Mulino Bianco",60,NaN,15,9
273,"Bread, sliced, durum wheat flour (Pan Bauletto al grano duro, Mulino Bianco)",68,NaN,15,10
274,"White bread, Alfacar",68,NaN,15,10
275,"White bread, candeal-flour",86,NaN,15,13
276,"White sandwich bread, low GI, high fiber, Bakers Delight™ Hi Fibre Lo GI",52,NaN,15,8
277,"White sandwich bread, low GI, high fiber, Tip Top™ EnerGI",58,NaN,15,9
278,"White bread, low GI, high fiber, Tip Top™ EnerGI",54,NaN,15,8
279,"White sandwich bread, low GI, high fiber, Vogel's Wonder White 'Low GI' ",54,NaN,15,8
280,"White sandwich bread, low GI, high fiber, Vogel's Wonder White 'Low GI' ",59,NaN,15,9
281,"White sandwich bread, Low GI, high fiber, Low GI Wonder Active",52,NaN,15,8
282,"White bread, toasted ",50,NaN,15,8
283,"Enriched white bread, Wonder™",71,NaN,15,11
284,"Enriched white bread, Wonder™ ",72,NaN,15,11
285,"Enriched white bread, Wonder™",77,NaN,15,12
286,"Bread, sliced, soft wheat flour, olive oil (2.5%)",63,NaN,15,9
287,"Bread, sliced, soft wheat flour, extra virgin olive oil",73,NaN,15,11
288,White bread (100% wheat flour) + 2% pectin,86,NaN,15,13
289,White bread (100% wheat flour) + 5% fruit fiber ,77,NaN,15,12
290,White bread (80% wheat flour + 20% chickpea flour) ,80,NaN,15,12
291,White bread (90% wheat flour + 10% modified corn starch) ,79,NaN,15,12
292,White bread (90% wheat flour + 10% tapioca starch),78,NaN,15,12
293,White bread (95% wheat flour + 5% oat bran),75,NaN,15,11
294,"White bread, containing 2% guar gum ",67,NaN,15,10
295,"White bread, containing 2% vinegar and 2.5% sourdough",80,NaN,15,12
296,"Bread, fibre-enriched flour (Pan Bauletto Fior di Fibra, Mulino Bianco)",53,NaN,15,8
297,"White bread, fiber-enriched, Fiber White™",77,NaN,15,12
298,White bread with 2.5 g Filtered Molasses Concentrate added per 100 g (6.04 g FMC/100 g carbohydrate),59,NaN,15,9
299,Wheat bread enriched with ß-glucan (6 g per serving),48,NaN,15,7
300,"White bread, containing 0.8% Reducose®, lab made",42,NaN,15,6
301,Wheat bread enriched with resistant starch (high amylose waxy maize starch; 8.8 g/serving),40,NaN,15,6
302,White bread (10% of white bread flour was substituted by resistant starch from tapioca),70,NaN,15,11
303,White bread (30% of white bread flour was substituted by resistant starch from tapioca),68,NaN,15,10
304,White bread (60% of white bread flour was substituted by resistant starch from tapioca),51,NaN,15,8
305,"White bread, prepared with a 10 min prove and a second 2 min proving (low loaf volume)",38,NaN,15,6
306,"White bread, prepared with a 30 min prove and a second 12 min proving (moderate loaf volume)",72,NaN,15,11
307,"White bread, prepared with a 60 min prove and a second 30 min proving (moderate loaf volume)",86,NaN,15,13
308,"White bread, prepared with a 40 min prove, a second 25 min proving and a third 50 min proving (large loaf volume)",100,NaN,15,15
309,"Western baked bread, made with high protein flour (15 min resting time, 70 min proving time, 11 min baking at 210°C)",71,NaN,15,11
310,"White bread, pre-cooked frozen, baked 16 min at 180°C, cooled at 30°C for 18 min; frozen at -30°C for 30 min; preserved at -18°C; 2nd baking at 230°C for 12 min13",78,NaN,15,12
311,"Modified steamed bread made with conventional baked bread recipe, using high protein flour (15 min resting time, 40 min proving time, 10 min steaming at 100°C)",65,NaN,15,10
312,"Oriental steamed bread, made with medium protein flour (15 min resting time, 40 min proving time, 10 min steaming at 100°C)",68,NaN,15,10
313,"Modified baked bread made with steamed bread recipe, made with medium protein flour (15 min resting time, 70 min proving time, 11 min baking at 210°C)",75,NaN,15,11
314,"Wholemeal wheat flour bread, sliced",59,NaN,15,9
315,Wholemeal flour bread,69,NaN,15,10
316,Wholemeal flour bread,75,NaN,15,11
317,"Wholemeal flour bread, short wholemeal (50% whole meal wheat, 50% white wheat, Baker’s yeast (1.3% net flour weight), no rising time, 30 min proving time, 220°C baking temperature, 30 min baking time",78,NaN,15,12
318,"Wholemeal bread, long whole meal (50% whole meal wheat, 50% white wheat, Baker’s yeast (13% net flour weight), 20 min rising time, 30 min proving time, 220°C baking temperature, 30 min baking time",80,NaN,15,12
319,Wholemeal bread,85,NaN,15,13
320,"Wholemeal bread, yeast (50% wholemeal wheat, 50% white wheat, Baker’s yeast (15% dry weight), 60 min rising time, 40 min proving time, 200°C baking temperature, 40-50 min baking time",88,NaN,15,13
321,"Wholemeal bread, smooth milled, Ploughman's™",64,NaN,15,10
322,Wholemeal stoneground flour sourdough bread,59,NaN,15,9
323,"Wholemeal sliced bread, High fibre Performax™",38,NaN,15,6
324,"Wholemeal bread (wholemeal wheat flour, water, yeast, salt, and 40% sourdough), baked at 200°C for 40 min13",61,NaN,15,9
325,"Wholemeal bread sticks, crunchy",67,NaN,15,10
326,"Corn tortilla, made from white corn, Diego's brand",49,NaN,15,7
327,"Corn tortilla, made from white corn, gluten-free, Mission®",52,NaN,15,8
328,Herman Brot Protein Wraps,27,NaN,15,4
329,"Mixed Grain wraps, Helga’s",55,NaN,15,8
330,Oat Light Wrap bread,62,NaN,15,9
331,"Whole Grain Tortilla, Old El Paso™",50,NaN,15,8
332,"Wholemeal and white flour wrap with chia seeds, Mission brand ",50,NaN,15,8
333,"Wholemeal and white flour wrap with red quinoa, Mission brand ",59,NaN,15,9
334,"Chia White bread, Bakers Delight™",63,NaN,15,9
335,"Bread, increased GI variant (sugar-to-flour ratio: 0.24)",69,NaN,15,10
336,"Bread, decreased GI variant (sugar-to-flour ratio: 0.0)",40,NaN,15,6
337,"Bread, sliced, soft wheat flour, flaxseeds (4.9%), soy grain (4.3%), Cuor di Lino, Mulino Bianco,",58,NaN,15,9
338,"Bread, desem (50% whole meal wheat, 50% white wheat), baker’s yeast (15% dry weight), desem (15% wet weight), 60 min rising time, 40 min proving time, 200°C baking temperature, 40-50 min baking time",92,NaN,15,14
339,Crusty malted wheat bread ,52,NaN,15,8
340,Dried wheat bread rusk,63,NaN,15,9
341,"Focaccia, soft wheat flour, with extra virgin olive oil (8.7%) (Focaccelle con olio di oliva extravergine, Mulino Bianco)",63,NaN,15,9
342,"Lebanese bread, white",75,NaN,15,11
343,"Malt loaf, organic",59,NaN,15,9
344,"Naan bread, heated in microwave for 25 sec",71,NaN,15,11
345,Pain au lait ,63,NaN,15,9
346,"Pita bread, white, mini",68,NaN,15,10
347,"Pita bread, wholemeal",56,NaN,15,8
348,Pumpkin Cob Gourmet Bread ,85,NaN,15,13
349,"Roti (unleavened flatbread), whole wheat flour",45,NaN,15,7
350,"Roti (unleavened flatbread), atta mix containing roasted Bengal flour, psyllium husk powder and fenugreek powder  ",27,NaN,15,4
351,Sprouted kamut bread ,67,NaN,15,10
352,Steamed wheat bread,88,NaN,15,13
353,"Barley bread, containing 40% barley flour and 60% wheat flour, separate proving of wheat dough",72,NaN,15,11
354,"Lompe (made from potato, precooked and cooled, and spelt flour) (Speltlompe) ",63,NaN,15,9
355,"Millet steamed bread (75% foxtail-millet flour and 25% extrusion flour (w/w, dry basis)",90,NaN,15,14
356,Potato mixed flour bread (lab made),55,NaN,15,8
357,Soy flour bread,40,NaN,15,6
358,Branflakes,50,NaN,20,10
359,"Bran Flakes, President's Choice® Blue Menu™",65,NaN,20,13
360,Bran Flakes™,74,NaN,20,15
361,"Chocapic™, wheat-based flaked cereal",70,NaN,20,14
362,"Chocapic™, wheat-based flaked cereal",74,NaN,20,15
363,"Chocapic™, wheat-based flaked cereal",84,NaN,20,17
364,"Cornflakes, tested in younger adults (19-32 y)",64,NaN,20,13
365,Cornflakes,66,NaN,20,13
366,Cornflakes,74,NaN,20,15
367,Cornflakes,77,NaN,20,15
368,Cornflakes,77,NaN,20,15
369,Cornflakes,79,NaN,20,16
370,"Cornflakes, tested in older adults (56-86 y)",81,NaN,20,16
371,Cornflakes ,82,NaN,20,16
372,Cornflakes,93,NaN,20,19
373,Cornflakes,105,NaN,20,21
374,"Cornflakes, Crunchy Nut™ ",72,NaN,20,14
375,Fruit and Fibre,67,NaN,20,13
376,Fruit and Fibre,68,NaN,20,14
377,"Granola, blueberry",64,NaN,20,13
378,"Granola Clusters, Original, low fat, President’s Choice® Blue Menu™ ",63,NaN,20,13
379,"Granola Clusters, Raisin & Almond, low fat, President’s Choice® Blue Menu™ ",70,NaN,20,14
380,"Granola, whole-grain oat protein ",51,NaN,20,10
381,Low GI Granola Golden Almond Crunch,49,NaN,20,10
382,Low GI Granola Strawberry & Coconut,52,NaN,20,10
383,"Soy Crunch Multi-Grain Cereal, President’s Choice® Blue Menu™",47,NaN,20,9
384,"Soytana™, Vogel’s, soy and linseed bran crunch with sultanas, 20.1 g fiber/100 g",49,NaN,20,10
385,Vogel’s Cluster Crunch Classic,50,NaN,20,10
386,"Vogel’s Cluster Crunch, Honey Hazelnut",43,NaN,20,9
387,Wild Oats Cluster Crunch Hazelnut Chocolate,43,NaN,20,9
388,Malted wholewheat cereal,56,NaN,20,11
389,Malted wholewheat cereal,60,NaN,20,12
390,Malted wheat cereal,60,NaN,20,12
391,Malted wheat cereal,68,NaN,20,14
